FSC-A,FSC-H,SSC-A,FITC-A,PE-A,PerCP-Cy5.5-A,PE-Cy7-A,APC-A,APC-R700-A,APC-Cy7-A,V450-A,V500-C-A,Population
99835,59989,81420,7312,921,441,242,16420,-37,286,11856,3828,Monoblasts and Promonocytes
194274,124204,262143,1953,6604,1090,108,4300,279,-12,1109,4816,Eosinophils
82888,50106,45971,2394,5862,764,407,7314,-8,325,4646,4908,Mature Monocytes
103069,67813,46958,624,1699,130,-47,173,18,4,238,962,"Myelocyte, Metamyelocytes and Band Cells"
127093,76523,117277,10767,38896,803,3957,4976,143,92,706,1909,Promyelocytes
39099,29884,5388,10282,-33,229,-107,-29,6,2325,17611,2695,B Cell Precursors
229015,126708,89640,7567,9935,793,218269,19262,9579,-313,2676,3864,Mast Cells
91768,42827,74351,13246,38290,1126,2732,811,40,-32,7315,848,Promyelocytes
52195,38513,12437,5372,-89,87,137,30,28,0,17033,14037,T and NK Cells
54709,34219,16619,3745,63,111,3190,63,-37,-38,4,835,Erythroid Precursors
100068,70995,34788,380,40015,435,-124,280,60,-80,9908,12412,Mature Monocytes
167130,101197,155887,1407,7653,1195,306,639,124,154,1123,3065,Eosinophils
37356,26753,9064,571,-59,158,71,18,1,559,17140,8995,Mast Cells
141661,83415,79396,785,269,321,35,1988,187,-23,473,872,"Myelocyte, Metamyelocytes and Band Cells"
43152,33948,6404,171,-13,176,21,22,-26,31,-65,-48,Erythroid Cells
104349,68910,41319,1832,30381,454,11,11494,589,21,18259,8884,Mature Monocytes
144371,103320,177573,1165,2384,850,470,184,68,89,856,6520,Eosinophils
86259,54231,94068,749,6184,382,100,1110,33,-25,91,2435,Segmented Neutrophils
59423,42883,12299,7959,162,2540,-105,1303,-47,-7,2849,2002,Plasmacytoid Dendritic Cells
181755,110792,107631,1813,5958,678,109499,16095,92,-249,2901,4063,Mast Cells
90913,60011,35889,3900,4925,339,138,7657,-34,238,2565,1991,Mature Monocytes
90933,57430,35295,21011,364,4529,557,3890,150,31,57744,3318,Plasmacytoid Dendritic Cells
22157,17802,4777,140,171,421,45,31,12,-38,36,116,Erythroid Cells
66218,43211,17296,4621,5270,433,37,405,60,-79,310,2040,Basophils
108435,64960,80498,1997,1113,367,154,4857,86,102,493,1681,"Myelocyte, Metamyelocytes and Band Cells"
67224,44338,18617,2525,330,139,176,1453,-19,-103,6543,3096,Plasmacytoid Dendritic Cells
100273,60429,30511,8260,81,6902,5677,1597,22,-108,17311,494,Erythroid Precursors
91701,53409,56505,8050,3247,27852,5274,3887,-1247,104,59422,889,Normal Myeloid Precursors
77290,49059,25294,2000,841,692,674,8803,-131,56,27100,2320,Monoblasts and Promonocytes
79987,52089,27225,24011,127,187,22,45,67,1450,10024,5340,Plasma Cells
34709,24999,6790,12010,14,148,-30,24,53,2969,12451,2203,B Cell Precursors
33865,27044,4008,134,-18,126,-29,-10,12,-5,-28,21,Erythroid Cells
43391,22406,43965,2727,41771,1056,2016,1284,-16,53,6360,968,Promyelocytes
48662,33290,15908,1250,-55,263,-19,11,-24,3741,45199,7585,Mast Cells
59515,36166,34072,3989,7966,205,30,5170,-14,109,897,3643,Monoblasts and Promonocytes
96199,59374,76382,4553,33053,22,4868,539,28,176,5,578,Promyelocytes
66144,42182,46457,2463,2117,1936,166971,10164,1791,739,2962,1912,Mast Cells
105737,58166,78589,8276,11895,5786,8747,12019,-365,-242,41990,2465,Normal Myeloid Precursors
148483,83495,51366,6405,7503,303,10880,7612,-25,123,37320,2065,Residual Leukemic Cells
102277,67462,59669,891,634,181,43798,12904,15,-144,449,1220,Mast Cells
45026,27232,11186,10227,131,1556,-66,386,63,34,16399,1339,Plasmacytoid Dendritic Cells
88551,49296,95857,741,426,955,43407,23260,376,814,382,2132,Mast Cells
129350,85009,33368,3193,1721,272,1,9827,-74,73,6508,4070,Monoblasts and Promonocytes
204091,104161,99612,9759,47539,5930,459,3290,-12,189,2770,10158,Residual Leukemic Cells
66761,47041,10836,123,69,79,83,-71,28,-52,6,217,Erythroid Cells
62031,40555,35208,3642,3390,150,48,9411,81,53,3581,6307,Monoblasts and Promonocytes
46143,31594,9631,1464,-45,108,28,-4,9,4740,14940,6946,Mast Cells
144763,89802,194738,1237,4969,1003,-7,368,81,218,1050,7045,Eosinophils
147896,98442,64877,1714,840,474,132,1594,64,149,1038,1972,"Myelocyte, Metamyelocytes and Band Cells"
71744,54290,19219,159,108,51,51,23,13,36,2457,10529,T and NK Cells
54703,32881,16280,3547,64,289,-30,26,109,-35,10673,2342,Plasmacytoid Dendritic Cells
61343,38797,17967,683,76,81,70,185,-23,15,19272,3968,Plasmacytoid Dendritic Cells
157781,82021,42262,12398,1082,15466,7627,6106,-137,244,2231,1763,Residual Leukemic Cells
136327,67926,107865,6899,1102,449,645,7175,130,-29,196,824,Promyelocytes
60175,48349,15614,599,24,132,40,27,0,2,-3,8666,T and NK Cells
201719,116618,114683,517,3558,141,182180,18118,-95,-1044,231,1772,Mast Cells
42652,34920,5752,8248,-19,165,59,38,109,3259,6617,1682,B Cell Precursors
119363,68829,43698,6570,1151,425,726,7977,189,135,11965,2341,Monoblasts and Promonocytes
70380,50937,34670,1077,457,51078,1039,1801,3639,309,41626,1480,Residual Leukemic Cells
60460,39641,22262,1138,171,178,1776,8,26,33,515,552,Erythroid Precursors
178239,107070,30331,2512,113,137,-42,6005,-206,61,65478,9322,Monoblasts and Promonocytes
97317,65320,24861,10762,403,21362,3961,2778,-318,-250,22508,2271,Normal Myeloid Precursors
88158,47155,33358,2083,235,333,862,-34,42,-73,417,1252,Erythroid Precursors
114521,75480,86692,1207,2150,712,195,535,66,81,757,3069,Eosinophils
23624,15530,7799,522,598,199,47,9,44,1033,3323,1822,Mature B Cells
77117,44357,42055,6435,976,43,20,4756,49,54,4007,6203,Mature Monocytes
68118,42413,58634,8794,11730,6844,13000,5795,-658,112,55453,1163,Normal Myeloid Precursors
35596,18439,38552,6614,62105,1052,4669,5506,50,-23,3578,1488,Promyelocytes
90890,63735,86706,4733,46429,245,5008,1371,2,-19,706,1239,Promyelocytes
50925,37107,11001,1191,88,136,40,-7,48,1142,3306,4049,Mature B Cells
100948,67125,75141,805,1095,404,-95,2611,214,176,285,2341,"Myelocyte, Metamyelocytes and Band Cells"
262143,137455,262143,5088,22224,3171,925,2640,287,202,7084,20761,Eosinophils
101613,62419,45777,6357,462,255,11539,370,53,-47,135,1140,Erythroid Precursors
117566,75580,77529,1198,1535,1386,342,1427,258,279,1920,2025,"Myelocyte, Metamyelocytes and Band Cells"
63563,43454,20132,10228,2100,209,742,989,20,20,9,2757,Basophils
100257,63566,92732,495,17753,272,133,867,149,0,215,2509,Segmented Neutrophils
77152,58466,21510,7285,2725,4,324,2197,73,-90,337,2062,Basophils
20440,14513,4371,1261,-22,64,-32,-30,-3,280,3151,734,Mature B Cells
35852,23385,24759,4855,2384,7973,6460,1905,-625,88,10974,930,Normal Myeloid Precursors
61557,46019,14912,12326,6367,646,510,1032,13,236,130,2566,Basophils
87821,51223,28181,60301,-178,506,79,-1,12,747,-107,4641,Plasma Cells
27282,19929,7070,1120,9,40,135,182,15,1692,2588,3790,Mature B Cells
64843,51099,21375,394,98,5,81,59,17,9,-57,13463,T and NK Cells
73739,46485,27558,86969,-210,231,-38,-24,15,238,67664,9866,Plasma Cells
123297,80257,104444,1268,1890,227,234,1226,50,79,25,3196,Segmented Neutrophils
188857,106753,109066,8802,18820,762,261620,10038,2082,-1252,-40,5627,Mast Cells
74337,58195,13899,6385,-23,-18,29,40,118,-28,3570,8506,T and NK Cells
58636,48076,12043,671,41,16,133,27,-30,0,86,13279,T and NK Cells
38324,28209,8099,713,-36,143,77,10,48,1140,29525,7784,Mature B Cells
88360,51010,65384,5128,794,301,298,6143,163,103,27009,1566,Monoblasts and Promonocytes
87330,55274,23940,4948,2725,37666,4754,688,85,-73,17001,1809,Normal Myeloid Precursors
139085,86801,169956,2865,5528,3158,277,992,184,92,2175,7828,Eosinophils
76802,59675,18277,3475,8,9,88,1,92,-11,254,12441,T and NK Cells
35960,29686,5250,110,50,154,85,30,-27,-8,114,257,Erythroid Cells
86598,56461,76095,483,2636,122,98,2290,60,24,235,2575,Segmented Neutrophils
169042,111513,206928,1526,8416,1533,237,546,271,50,1538,4005,Eosinophils
74073,50948,28544,3852,551,279,126,4348,1751,17,3230,3071,Monoblasts and Promonocytes
75750,59507,14991,8427,1780,-56,713,1858,-4,2,3,2374,Basophils
35234,27378,8081,276,40,135,80,56,1,5,34,288,Erythroid Cells
43690,30214,13627,3802,31,61,-38,14,58,6587,9881,11489,Mast Cells
166573,101032,179844,1290,11236,1199,5,1429,405,322,1088,10833,Eosinophils
95966,54744,73340,6522,16016,1663,8139,1120,29,-2,37502,1225,Promyelocytes
80398,45270,46522,631,1558,157,42422,3667,-14,-744,2647,1865,Mast Cells
168109,99407,236094,1578,4655,1157,0,746,14,24,1562,6539,Eosinophils
185726,110588,255675,1991,3314,1682,182,609,213,52,1285,4230,Eosinophils
209080,103011,117324,4750,479,493,560,6277,-50,-30,465,2229,"Myelocyte, Metamyelocytes and Band Cells"
101888,58151,89677,4140,51577,636,1723,4707,145,103,460,1348,Promyelocytes
47545,31900,15005,3647,10847,5295,6139,793,73,-14,2310,619,Residual Leukemic Cells
52002,39423,7727,207,9,49,152,-16,-1,1801,12822,5770,Mature B Cells
184486,95771,40340,202592,1251,2109,271,-113,-81,1291,154,5484,Plasma Cells
33503,23078,19964,2323,2995,3187,2507,1178,-280,84,6586,843,Normal Myeloid Precursors
75924,61963,17831,669,94,180,808,-4,13,0,866,261,Erythroid Precursors
37667,28059,9799,2010,37,91,-69,52,-3,1041,6200,6698,Mature B Cells
141527,86492,133072,1077,6591,213,16,327,67,44,518,3452,Segmented Neutrophils
63799,50268,24105,8546,4907,185,838,1947,-127,113,253,2422,Basophils
75259,56571,15276,3724,2128,84,144,786,3,17,277,1504,Basophils
104373,59939,59576,3128,1881,323,8,8026,4893,-255,61039,2279,Monoblasts and Promonocytes
102477,58531,34052,5889,927,5509,6592,149,-42,18,4435,1166,Erythroid Precursors
67352,50895,14008,149,67,0,4,30,-3,21,61,2225,T and NK Cells
32937,23950,11305,1365,32,47,130,-15,26,3884,7529,3773,Mast Cells
46095,36968,7222,115,-74,170,-28,27,-4,13,32,104,Erythroid Cells
77075,48220,20833,2420,11925,822,-57,2726,91,140,2883,2319,Mature Monocytes
71085,53849,20145,1947,886,2255,30,1284,-74,66,16042,2468,Plasmacytoid Dendritic Cells
68914,43731,21211,12692,-12,65,20,121,-10,1188,41581,5598,B Cell Precursors
86390,56287,28451,2497,10008,148,45,16341,-38,120,46242,5174,Mature Monocytes
77588,54526,29534,2383,1772,39671,14723,1001,215,-233,38696,1439,Residual Leukemic Cells
115852,74660,59182,1074,1382,286,139,1887,112,209,1068,2826,"Myelocyte, Metamyelocytes and Band Cells"
100522,54354,64797,6376,35134,1973,5843,3356,112,20,1970,998,Promyelocytes
63089,47204,11330,7179,5954,19,-32,1745,90,-61,-27,2022,Basophils
64545,47804,11212,34320,-23,32,34,-9,12,402,-24,1025,Plasma Cells
157354,95766,44074,102353,24,158,-63,-62,30,1622,179,3054,Plasma Cells
139068,94942,25121,10684,81,9713,53,755,111,-80,48598,2311,Plasmacytoid Dendritic Cells
71469,42210,36760,1446,20568,226,-49,10318,-44,84,41796,11791,Mature Monocytes
87897,61506,13366,5105,905,189,391,-39,22,18,2500,210,Residual Leukemic Cells
111895,63684,73233,1055,2270,86,22,550,26,1,94,1107,Segmented Neutrophils
46866,36797,14687,1380,4821,490,116,1221,-8,19,414,2172,Basophils
32307,20817,11585,1571,160,108,30,-39,56,1536,8373,5186,Mature B Cells
53929,44699,10242,1188,57,182,42,-3,2,406,7208,3898,Mature B Cells
45529,29630,23142,3947,1518,788,-18,5271,274,88,18257,858,Monoblasts and Promonocytes
79432,45808,43264,3538,8821,80403,20708,2098,49,271,29345,1910,Residual Leukemic Cells
45186,33738,8229,9786,110,51,-37,143,59,1995,6160,1760,B Cell Precursors
128631,104993,17030,405,-1,227,18,47,-31,-3,191,151,Erythroid Cells
114513,59959,90268,766,2080,581,97,2041,53,-14,731,2848,"Myelocyte, Metamyelocytes and Band Cells"
108832,64352,68152,529,3339,378,79,3433,158,3,179,3520,"Myelocyte, Metamyelocytes and Band Cells"
63680,41612,33377,2618,235,382,2940,49,-29,-32,531,882,Erythroid Precursors
153654,95821,181410,1137,12982,523,43,403,72,51,1381,7616,Eosinophils
78547,46976,21463,56553,-87,95,121,37,-5,597,11191,7452,Plasma Cells
49365,37106,10854,10403,9382,111,14,326,-21,131,119,2383,Basophils
262143,146955,212040,7738,1238,1193,848,4343,-94,114,520,1674,Promyelocytes
52570,34833,16957,390,111,18,310,-18,65,-8,32,324,Erythroid Cells
25081,15417,8775,747,328,-47,134,62,3,46,347,6296,T and NK Cells
88016,59712,20611,2094,7927,18390,3054,267,-83,-82,997,1877,Normal Myeloid Precursors
54778,32888,23293,3796,7950,25825,3134,5643,-59,107,4339,1003,Normal Myeloid Precursors
52425,35751,14596,4070,167,1187,-65,786,30,18,4045,1193,Plasmacytoid Dendritic Cells
69379,47185,13897,4764,-58,1229,-43,457,-24,-10,18453,1682,Plasmacytoid Dendritic Cells
72460,45266,47309,8059,17103,654,5994,5242,56,-131,6705,1033,Promyelocytes
45257,33438,10162,589,53,64,8,-17,23,760,13103,3343,Mature B Cells
123062,72425,76689,612,2393,209,289,789,117,14,288,1332,"Myelocyte, Metamyelocytes and Band Cells"
83274,55025,22193,12709,229,4206,452,2219,30,29,49021,2258,Plasmacytoid Dendritic Cells
71498,55837,24400,25408,7040,220,6,2240,24,-20,49,3663,Basophils
50872,28798,58753,3636,13742,337,140,7815,23,134,7425,9152,Mature Monocytes
58487,40011,8797,276,86,464,-22,47,-33,94,109,166,Erythroid Cells
36985,29843,8346,241,-10,150,171,36,-22,90,117,158,Erythroid Cells
114233,73197,87933,1071,943,14,19,1553,53,51,274,588,"Myelocyte, Metamyelocytes and Band Cells"
61948,36712,19358,3318,4486,16025,1665,569,-19,-96,6342,969,Normal Myeloid Precursors
35593,24221,10495,278,76,217,31,-6,26,59,92,5177,T and NK Cells
108035,57086,58282,1215,1567,532,2653,286,226,7,1443,1119,Erythroid Precursors
106474,66234,38652,52267,337,608,68,66,-53,103,139,2147,Plasma Cells
58950,40402,12720,3933,1590,-28,100,1300,17,33,92,994,Basophils
50565,35874,9996,1193,20,28,4,-18,-4,1422,17600,5096,Mature B Cells
66491,43482,13679,2347,5219,159,585,1585,-22,-49,191,2878,Basophils
76537,48432,56259,408,6858,-147,116,1490,34,-66,125,1340,Segmented Neutrophils
102579,66462,44849,2695,1176,89,30,3372,-55,-23,25405,5947,Mature Monocytes
48875,36978,9356,174,19,91,53,3,30,-75,-27,15587,T and NK Cells
57247,42732,15699,671,1110,138,73490,1124,-15,-1002,390,930,Mast Cells
37389,26380,11207,1422,110,87,63,77,36,1532,6443,6560,Mature B Cells
107422,76737,87567,5487,6105,474,672,910,33,-40,382,2077,Promyelocytes
91035,53641,31925,7257,1933,14780,8574,1569,12,112,2925,1267,Residual Leukemic Cells
124604,72912,122673,706,8150,423,-155,1085,21,111,69,1802,Segmented Neutrophils
75226,49030,20007,5020,507,3038,3070,369,52,20,3551,1594,Erythroid Precursors
64979,44071,35947,3263,6702,65,-45,5428,-130,164,881,4073,Mature Monocytes
19182,10767,11959,10742,84,214,269,125,65,4054,21069,3517,B Cell Precursors
105219,59133,44245,2049,186,57,1987,46,-10,40,274,659,Erythroid Precursors
116552,72791,30763,80710,1804,249,110,-26,43,184,164,3014,Plasma Cells
68350,40463,30675,894,5000,30403,22639,12616,-15,93,13253,3062,Residual Leukemic Cells
152777,72663,76871,12513,45270,-37,1382,13578,4,-224,190,2805,Promyelocytes
50056,36599,18836,2930,643,4636,8944,4940,919,-40,14699,1801,Residual Leukemic Cells
114699,70333,42111,2948,2967,28357,3365,3256,-1468,-45,23820,3492,Normal Myeloid Precursors
99907,62594,86044,670,1080,1313,47331,14324,951,560,409,2149,Mast Cells
84586,49806,30774,9362,498,12933,3079,125,12,-35,8330,1647,Erythroid Precursors
103918,59429,41940,244429,-813,619,55,-64,-65,1071,123,3724,Plasma Cells
151517,92096,179570,1295,3007,961,260,835,198,131,1462,5040,Eosinophils
122620,77383,122565,706,16139,419,126,1510,-7,16,266,5104,Segmented Neutrophils
99843,65505,29430,116,15837,-155,-62,1284,34,17,9990,5024,Mature Monocytes
76388,49318,17196,11966,219,1343,-73,1740,49,101,4003,2286,Plasmacytoid Dendritic Cells
72086,36099,89462,6661,9259,626,1463,3424,11,121,606,1552,Promyelocytes
56380,34689,22668,1053,186,181,6064,0,-6,23,186,899,Erythroid Precursors
64732,41119,26243,5282,2937,-24,43,2978,-187,-4,4642,4540,Mature Monocytes
56366,40564,16001,16563,-34,87,-35,90,-27,2887,8609,11691,B Cell Precursors
95247,60885,56599,16146,6328,1744,3163,10181,-129,270,7002,1704,Promyelocytes
74654,45242,23290,1688,23210,-226,2444,3714,-91,161,5173,429,Residual Leukemic Cells
33372,24793,13408,338,539,105,-21,6,48,831,14176,3710,Mature B Cells
90065,49659,69728,620,3964,293,154,2655,45,-10,273,3259,"Myelocyte, Metamyelocytes and Band Cells"
53309,40679,12807,207,-40,86,220,4,192,92,158,3585,T and NK Cells
109805,67542,52624,6151,5147,210,528,6987,123,10,4654,7817,Mature Monocytes
172435,113766,194338,1238,11183,423,88,907,-70,84,1022,7388,Eosinophils
98234,49333,43651,31051,435,171,1503,1688,73,-54,7926,2691,Erythroid Precursors
82988,53691,21041,13149,4509,19227,2169,2085,-285,83,22636,3184,Normal Myeloid Precursors
61575,43436,14685,2486,1422,-298,105040,1171,-15,-6,-212,433,Mast Cells
123332,72355,121701,954,5947,577,370,1866,226,181,473,2627,Segmented Neutrophils
76105,47556,24870,2204,129,38,9,-4,46,-37,41254,5219,Plasmacytoid Dendritic Cells
101266,64064,49476,8228,9659,40,5760,4266,-92,94,46060,2125,Residual Leukemic Cells
62534,36841,37011,6996,11660,4598,7874,3447,-106,81,21269,2002,Normal Myeloid Precursors
30362,21054,8380,849,25,45,-80,33,37,2859,6703,3863,Mature B Cells
58773,36961,20419,3591,6926,191,-77,2125,2511,16,24660,4191,Monoblasts and Promonocytes
49029,39701,9336,362,-2,-55,91,3,14,-22,234,8273,T and NK Cells
68692,47574,17002,4310,-29,208,-33,1015,-60,57,5036,3428,Plasmacytoid Dendritic Cells
36122,28614,4237,95,-2,191,12,44,2,-44,-70,62,Erythroid Cells
44857,33291,11563,697,30,155,-17,-7,-3,40,17,9065,T and NK Cells
39646,31151,9007,974,1218,10778,-224,302,-97,-12,4610,852,Normal Myeloid Precursors
131421,90924,239840,2389,8213,1504,138,3419,808,191,1636,3960,Eosinophils
84408,53427,32459,4609,4071,508,245,5323,128,-40,21739,3557,Monoblasts and Promonocytes
108886,73207,81744,373,13708,101,77,1183,98,96,286,4667,Segmented Neutrophils
88053,57226,21496,46930,159,186,16,-33,15,319,7,1252,Plasma Cells
90521,60210,26996,3526,361,314,17,27,14,-47,5718,3881,Plasmacytoid Dendritic Cells
41511,33461,6261,238,76,64,-38,-57,21,29,-39,214,Erythroid Cells
72771,54224,25795,2754,7748,57,1234,2479,-90,184,52,2356,Basophils
85272,54365,102718,609,7375,284,29,498,-5,31,195,2491,Segmented Neutrophils
52328,35122,15795,12625,104,2462,-13,179,45,-15,4312,1148,Plasmacytoid Dendritic Cells
171081,101765,215817,1487,7684,943,89,494,41,35,1256,5429,Eosinophils
44867,32327,12031,14158,-45,709,104,-24,38,-20,7646,1010,Plasmacytoid Dendritic Cells
56572,36607,16464,4262,905,14977,2912,1275,-25,-42,10591,1017,Normal Myeloid Precursors
83045,52872,21049,1995,-4,163,203,182,55,12,30028,3933,Plasmacytoid Dendritic Cells
72305,45937,35586,7799,5420,1478,-107,12086,159,88,18544,1921,Mature Monocytes
143561,85840,155742,1494,3990,333,181,1373,67,-8,339,1833,Segmented Neutrophils
61008,47709,20543,1670,29,180,400,10,45,2506,16621,9621,Mature B Cells
44623,34086,9878,745,-16,-10,7,-36,-16,1982,41913,6168,Mast Cells
208368,122740,68782,11196,75105,-376,1320,6139,160,-65,319,4203,Promyelocytes
84208,50588,32586,5060,22919,219,209,7476,74,-159,16191,5630,Mature Monocytes
92584,41474,91369,7219,5163,-18,3482,8324,-225,2,482,1312,Promyelocytes
114369,82925,32210,79061,427,1055,361,79,-9,71,291,3048,Plasma Cells
98562,60162,30216,13730,1566,763,184,13225,-269,113,15743,3008,Monoblasts and Promonocytes
61027,46943,16675,382,703,556,-97,-5,49,44,138,192,Erythroid Cells
98945,67931,23937,3516,722,281,112,3865,-156,40,36792,4332,Monoblasts and Promonocytes
122623,83748,86496,8185,3586,472,-55,1957,40,-13,724,2637,"Myelocyte, Metamyelocytes and Band Cells"
154250,81106,255866,4541,7233,2587,229,2413,111,215,13092,7385,Eosinophils
64520,47030,21495,4563,86,-52,46,25,-33,7514,59725,13128,Mature B Cells
82791,60153,36764,6172,1124,364,72,10198,342,117,2837,5427,Mature Monocytes
171312,96612,231805,2162,16998,553,198,3039,367,82,1171,9832,Eosinophils
79481,56503,10849,6283,13349,-29,815,1195,66,2,3,1729,Basophils
74881,50476,25188,8167,334,8105,4800,6313,105,113,8013,4275,Residual Leukemic Cells
26786,19124,6596,8745,211,4733,-275,-48,-53,1093,3836,588,B Cell Precursors
143329,78007,227425,1397,12705,1155,3,3778,203,248,2439,6204,Eosinophils
101247,65066,57198,5997,902,45,225,14443,-169,117,51574,3783,Monoblasts and Promonocytes
103926,64018,68846,777,20327,-481,72,1679,69,0,108,3058,Segmented Neutrophils
70829,49138,29659,3477,6372,14831,4075,4084,-89,40,2768,2272,Normal Myeloid Precursors
92706,59737,30594,76580,270,579,179,-13,-22,576,109,3546,Plasma Cells
106171,63768,94186,873,11196,665,75,972,-19,-7,-9,2747,Segmented Neutrophils
75698,53105,20066,1343,70,137,42,109,26,-34,11261,4071,Plasmacytoid Dendritic Cells
89910,54486,35570,9286,3806,12686,4843,8177,-691,-138,62848,2176,Normal Myeloid Precursors
171073,104646,219852,1523,9821,941,60,467,3,153,1582,7892,Eosinophils
108761,77027,103284,641,2238,596,112,2140,272,127,83,3552,"Myelocyte, Metamyelocytes and Band Cells"
47411,32052,12817,165,3720,6500,2739,3863,566,-233,5645,928,Residual Leukemic Cells
60909,39525,21980,1733,1612,22988,4305,2227,298,-23,11913,1917,Normal Myeloid Precursors
41585,28972,12200,2513,-11,59,52,-4,-3,2265,9009,5734,Mast Cells
86688,64088,18321,7652,2413,91,42,2450,62,77,236,2257,Basophils
34167,27753,6246,97,30,100,-11,-35,10,26,143,34,Erythroid Cells
127324,84974,85302,933,2077,297,41,1223,49,71,257,1304,Segmented Neutrophils
138427,79040,247672,1773,4060,2501,96,597,24,182,1437,6162,Eosinophils
29557,23974,4417,116,38,164,33,8,34,-16,8,149,Erythroid Cells
144686,89983,95984,1462,386,209,190,342,101,25,175,1183,"Myelocyte, Metamyelocytes and Band Cells"
180548,107489,71009,16991,12439,13026,5893,10492,-258,-5,811,3452,Residual Leukemic Cells
63653,31654,78444,4656,11212,736,243,4962,41,122,356,689,Promyelocytes
92436,60289,53112,1902,1542,559,232,10204,-2,27,19397,7797,Monoblasts and Promonocytes
75960,45672,46194,10651,8713,14915,5569,4143,-799,135,31185,810,Normal Myeloid Precursors
73168,44316,24298,1084,399,76443,2570,824,-340,-71,424,2192,Residual Leukemic Cells
37281,27263,7479,10351,-9,45,102,-13,25,1345,3698,2063,B Cell Precursors
102809,57626,44005,12967,404,11079,434,8120,99,-9,617,2407,Residual Leukemic Cells
35711,26840,9269,1784,113,219,-8,20,25,28,690,5819,T and NK Cells
95721,62490,31309,12298,2303,739,160,10099,-77,-195,24131,4487,Monoblasts and Promonocytes
106867,66523,112876,718,14899,225,-28,1299,109,22,258,3595,Segmented Neutrophils
56989,42577,13853,12983,-70,100,-14,11,-50,1227,9910,8580,B Cell Precursors
116695,69801,34870,127698,1344,932,285,8,60,1598,153,2992,Plasma Cells
44771,31961,8814,192,26,111,75,14,15,-24,27,150,Erythroid Cells
61804,50393,14261,513,13,40,80,45,-5,-46,259,5800,T and NK Cells
128913,74601,60993,3521,219,135,146,5855,3998,148,542,4016,Residual Leukemic Cells
55859,33937,36310,1119,5079,-41,73,706,-11,63,274,3298,Segmented Neutrophils
50651,23801,39095,5655,71421,879,3366,6811,23,95,4234,1240,Promyelocytes
33773,24511,9292,634,58,49,16,-54,45,2521,7414,7772,Mature B Cells
93018,52903,51613,4566,6550,249,195,1848,-41,155,15195,4391,Mature Monocytes
84177,54439,46959,4684,15411,366,-2,12218,-220,436,3771,8772,Mature Monocytes
76509,52792,22793,5714,6659,966,47146,8544,165,-397,26,3381,Mast Cells
65536,35585,33570,2590,202,699,667,4562,198,152,15895,3174,Residual Leukemic Cells
88252,65282,65561,663,7340,-122,33,1309,61,84,52,3373,Segmented Neutrophils
103116,62367,29792,3842,85,264,1672,12,-32,4,22173,932,Erythroid Precursors
38914,29677,9620,120,59,36,21,6,6,-23,165,6092,T and NK Cells
80540,49767,28275,1845,8386,49777,12239,780,384,-282,13560,854,Residual Leukemic Cells
108140,64674,111693,842,1376,277,308,1222,278,129,356,2720,"Myelocyte, Metamyelocytes and Band Cells"
44755,33676,8923,171,64,114,-80,-17,7,3170,7354,3676,Mature B Cells
91306,43452,43967,3913,57870,-467,663,1941,-72,66,-121,1412,Promyelocytes
109220,64421,46812,2239,12879,801,256,12739,-412,147,2113,5287,Mature Monocytes
72776,49915,6794,260,45,201,49,10,33,-12,86,250,Erythroid Cells
34301,25839,7721,1906,44,100,-19,1,51,1123,6598,4368,Mature B Cells
71800,45080,59482,378,11966,25,22,1067,23,49,73,2125,Segmented Neutrophils
82474,62419,17578,4807,14908,-231,133,4206,134,12,91,1899,Basophils
82553,54915,28854,1814,6943,515,149,8319,214,25,10890,4285,Mature Monocytes
87474,49144,40953,5741,426,389,3159,157,11,-12,5067,1061,Erythroid Precursors
59909,44948,20860,224,23,80,-13,40,3461,-12,313,7094,T and NK Cells
102840,53522,55465,4161,4178,539,-30,5271,136,142,5379,5473,Monoblasts and Promonocytes
164305,100619,118467,3357,1125,579,63,2657,74,56,830,4242,"Myelocyte, Metamyelocytes and Band Cells"
91590,57858,48494,2142,969,312,187,6656,51,-27,21487,4871,Monoblasts and Promonocytes
37695,28874,11379,140,75,137,-72,-21,30,11,89,164,Erythroid Cells
69157,55271,13916,13895,3215,765,3088,4445,130,85,372,3185,Basophils
81093,46258,18972,9495,24,736,-20,558,-6,-78,5578,4081,Plasmacytoid Dendritic Cells
71929,56820,23921,19704,2963,49,306,3377,1,-29,68,3327,Basophils
92205,47300,118886,530,28219,634,64,853,89,36,193,5722,Segmented Neutrophils
161102,95319,104960,2265,215,589,-77,2128,-39,119,243,1588,"Myelocyte, Metamyelocytes and Band Cells"
81093,62188,29069,3778,521,-7,13047,4446,-36,22,151,7069,Mast Cells
44784,34225,7814,208,30,142,11,-36,-14,2,1,240,Erythroid Cells
79591,61328,20032,4056,-17,226,-32,-28,1485,136,436,8489,T and NK Cells
52896,37545,12457,1906,-20,34,-74,-12,-4,982,24215,5573,Mature B Cells
103888,65171,33333,399,857,-371,125993,6373,123,-652,-135,1821,Mast Cells
183351,115015,190665,2033,2472,678,280,1502,-54,165,1124,6429,Eosinophils
59351,34943,34108,22712,1070,4952,2913,9079,-163,144,11446,2728,Normal Myeloid Precursors
122456,74479,40565,4639,1725,1973,1116,3629,674,-102,45486,1794,Monoblasts and Promonocytes
72825,55196,13374,7088,4363,0,227,2377,25,62,69,3327,Basophils
